site,date,start_hour,value,variable,units,quality,prelim,name,latitude,longitude,obs_type,monitoring_id,flag 
2077,2016-04-07,20,0.0180,OZONE,Parts Per Million ( ppm ),0,y,Redlands-Dearborn,34.059747000000002,-117.14731500000001,H,, 
2077,2016-04-07,21,0.0110,OZONE,Parts Per Million ( ppm ),0,y,Redlands-Dearborn,34.059747000000002,-117.14731500000001,H,, 
2077,2016-04-07,22,0.0060,OZONE,Parts Per Million ( ppm ),0,y,Redlands-Dearborn,34.059747000000002,-117.14731500000001,H,, 
2077,2016-04-07,23,0.0030,OZONE,Parts Per Million ( ppm ),0,y,Redlands-Dearborn,34.059747000000002,-117.14731500000001,H,, 
2077,2016-04-08,0,0.0030,OZONE,Parts Per Million ( ppm ),0,y,Redlands-Dearborn,34.059747000000002,-117.14731500000001,H,, 
2077,2016-04-08,1,0.0070,OZONE,Parts Per Million ( ppm ),0,y,Redlands-Dearborn,34.059747000000002,-117.14731500000001,H,, 
2077,2016-04-08,2,0.0070,OZONE,Parts Per Million ( ppm ),0,y,Redlands-Dearborn,34.059747000000002,-117.14731500000001,H,, 
2077,2016-04-08,3,0.0050,OZONE,Parts Per Million ( ppm ),0,y,Redlands-Dearborn,34.059747000000002,-117.14731500000001,H,, 
2077,2016-04-08,4,0.0020,OZONE,Parts Per Million ( ppm ),0,y,Redlands-Dearborn,34.059747000000002,-117.14731500000001,H,, 
2077,2016-04-08,5,0.0020,OZONE,Parts Per Million ( ppm ),0,y,Redlands-Dearborn,34.059747000000002,-117.14731500000001,H,, 
2077,2016-04-08,6,0.0070,OZONE,Parts Per Million ( ppm ),0,y,Redlands-Dearborn,34.059747000000002,-117.14731500000001,H,, 
2077,2016-04-08,7,0.0120,OZONE,Parts Per Million ( ppm ),0,y,Redlands-Dearborn,34.059747000000002,-117.14731500000001,H,, 
2077,2016-04-08,8,0.0230,OZONE,Parts Per Million ( ppm ),0,y,Redlands-Dearborn,34.059747000000002,-117.14731500000001,H,, 
2077,2016-04-08,9,0.0280,OZONE,Parts Per Million ( ppm ),0,y,Redlands-Dearborn,34.059747000000002,-117.14731500000001,H,, 
2077,2016-04-08,10,0.0320,OZONE,Parts Per Million ( ppm ),0,y,Redlands-Dearborn,34.059747000000002,-117.14731500000001,H,, 
2077,2016-04-08,11,0.0230,OZONE,Parts Per Million ( ppm ),1,y,Redlands-Dearborn,34.059747000000002,-117.14731500000001,H,, 
2077,2016-04-08,12,0.0220,OZONE,Parts Per Million ( ppm ),0,y,Redlands-Dearborn,34.059747000000002,-117.14731500000001,H,, 
2077,2016-04-08,13,0.0240,OZONE,Parts Per Million ( ppm ),0,y,Redlands-Dearborn,34.059747000000002,-117.14731500000001,H,, 
2077,2016-04-08,14,0.0270,OZONE,Parts Per Million ( ppm ),0,y,Redlands-Dearborn,34.059747000000002,-117.14731500000001,H,, 
2077,2016-04-08,15,0.0330,OZONE,Parts Per Million ( ppm ),0,y,Redlands-Dearborn,34.059747000000002,-117.14731500000001,H,, 
2077,2016-04-08,16,0.0340,OZONE,Parts Per Million ( ppm ),0,y,Redlands-Dearborn,34.059747000000002,-117.14731500000001,H,, 
2077,2016-04-08,17,0.0290,OZONE,Parts Per Million ( ppm ),0,y,Redlands-Dearborn,34.059747000000002,-117.14731500000001,H,, 
2077,2016-04-08,18,0.0270,OZONE,Parts Per Million ( ppm ),0,y,Redlands-Dearborn,34.059747000000002,-117.14731500000001,H,, 
2077,2016-04-08,19,0.0290,OZONE,Parts Per Million ( ppm ),0,y,Redlands-Dearborn,34.059747000000002,-117.14731500000001,H,, 
2077,2016-04-08,20,0.0270,OZONE,Parts Per Million ( ppm ),0,y,Redlands-Dearborn,34.059747000000002,-117.14731500000001,H,, 
2077,2016-04-08,21,0.0260,OZONE,Parts Per Million ( ppm ),0,y,Redlands-Dearborn,34.059747000000002,-117.14731500000001,H,, 
2077,2016-04-08,22,0.0250,OZONE,Parts Per Million ( ppm ),0,y,Redlands-Dearborn,34.059747000000002,-117.14731500000001,H,, 
2077,2016-04-08,23,0.0200,OZONE,Parts Per Million ( ppm ),0,y,Redlands-Dearborn,34.059747000000002,-117.14731500000001,H,, 
2077,2016-04-09,0,0.0230,OZONE,Parts Per Million ( ppm ),0,y,Redlands-Dearborn,34.059747000000002,-117.14731500000001,H,, 
2077,2016-04-09,1,0.0240,OZONE,Parts Per Million ( ppm ),0,y,Redlands-Dearborn,34.059747000000002,-117.14731500000001,H,, 
2077,2016-04-09,2,0.0210,OZONE,Parts Per Million ( ppm ),0,y,Redlands-Dearborn,34.059747000000002,-117.14731500000001,H,, 
2077,2016-04-09,3,0.0230,OZONE,Parts Per Million ( ppm ),0,y,Redlands-Dearborn,34.059747000000002,-117.14731500000001,H,, 
2077,2016-04-09,4,0.0180,OZONE,Parts Per Million ( ppm ),0,y,Redlands-Dearborn,34.059747000000002,-117.14731500000001,H,, 
2077,2016-04-09,5,0.0150,OZONE,Parts Per Million ( ppm ),0,y,Redlands-Dearborn,34.059747000000002,-117.14731500000001,H,, 
2077,2016-04-09,6,0.0140,OZONE,Parts Per Million ( ppm ),0,y,Redlands-Dearborn,34.059747000000002,-117.14731500000001,H,, 
