site,monitor,date,start_hour,value,variable,units,quality,prelim 
2420,-,2016-04-09,6,16.00,PM25HR,Micrograms/Cubic Meter ( ug/m<sup>3</sup> ),0,y 
2420,-,2016-04-09,7,14.00,PM25HR,Micrograms/Cubic Meter ( ug/m<sup>3</sup> ),0,y 
2420,-,2016-04-09,8,14.00,PM25HR,Micrograms/Cubic Meter ( ug/m<sup>3</sup> ),0,y 
2420,-,2016-04-09,9,15.00,PM25HR,Micrograms/Cubic Meter ( ug/m<sup>3</sup> ),0,y 
2420,-,2016-04-09,10,15.00,PM25HR,Micrograms/Cubic Meter ( ug/m<sup>3</sup> ),0,y 
2420,-,2016-04-09,11,12.00,PM25HR,Micrograms/Cubic Meter ( ug/m<sup>3</sup> ),0,y 
2420,-,2016-04-09,12,10.00,PM25HR,Micrograms/Cubic Meter ( ug/m<sup>3</sup> ),0,y 
2420,-,2016-04-09,13,10.00,PM25HR,Micrograms/Cubic Meter ( ug/m<sup>3</sup> ),0,y 
2420,-,2016-04-09,14,10.00,PM25HR,Micrograms/Cubic Meter ( ug/m<sup>3</sup> ),0,y 
2420,-,2016-04-09,15,9.00,PM25HR,Micrograms/Cubic Meter ( ug/m<sup>3</sup> ),0,y 
2420,-,2016-04-09,16,11.00,PM25HR,Micrograms/Cubic Meter ( ug/m<sup>3</sup> ),0,y 
2420,-,2016-04-09,17,15.00,PM25HR,Micrograms/Cubic Meter ( ug/m<sup>3</sup> ),0,y 
2420,-,2016-04-09,18,10.00,PM25HR,Micrograms/Cubic Meter ( ug/m<sup>3</sup> ),0,y 
2420,-,2016-04-09,19,9.00,PM25HR,Micrograms/Cubic Meter ( ug/m<sup>3</sup> ),0,y 
2420,-,2016-04-09,20,19.00,PM25HR,Micrograms/Cubic Meter ( ug/m<sup>3</sup> ),0,y 
2420,-,2016-04-09,21,20.00,PM25HR,Micrograms/Cubic Meter ( ug/m<sup>3</sup> ),0,y 
2420,-,2016-04-09,22,18.00,PM25HR,Micrograms/Cubic Meter ( ug/m<sup>3</sup> ),0,y 
2420,-,2016-04-09,23,23.00,PM25HR,Micrograms/Cubic Meter ( ug/m<sup>3</sup> ),0,y 
2420,-,2016-04-10,0,13.00,PM25HR,Micrograms/Cubic Meter ( ug/m<sup>3</sup> ),0,y 
2420,-,2016-04-10,1,16.00,PM25HR,Micrograms/Cubic Meter ( ug/m<sup>3</sup> ),0,y 
2420,-,2016-04-10,2,14.00,PM25HR,Micrograms/Cubic Meter ( ug/m<sup>3</sup> ),0,y 
2420,-,2016-04-10,3,12.00,PM25HR,Micrograms/Cubic Meter ( ug/m<sup>3</sup> ),0,y 
2420,-,2016-04-10,4,10.00,PM25HR,Micrograms/Cubic Meter ( ug/m<sup>3</sup> ),0,y 
2420,-,2016-04-10,5,12.00,PM25HR,Micrograms/Cubic Meter ( ug/m<sup>3</sup> ),0,y 
2420,-,2016-04-10,6,12.00,PM25HR,Micrograms/Cubic Meter ( ug/m<sup>3</sup> ),0,y 
2420,-,2016-04-10,7,11.00,PM25HR,Micrograms/Cubic Meter ( ug/m<sup>3</sup> ),0,y 
2420,-,2016-04-10,8,13.00,PM25HR,Micrograms/Cubic Meter ( ug/m<sup>3</sup> ),0,y 
2420,-,2016-04-10,9,13.00,PM25HR,Micrograms/Cubic Meter ( ug/m<sup>3</sup> ),0,y 
2420,-,2016-04-10,10,11.00,PM25HR,Micrograms/Cubic Meter ( ug/m<sup>3</sup> ),0,y 
2420,-,2016-04-10,11,12.00,PM25HR,Micrograms/Cubic Meter ( ug/m<sup>3</sup> ),0,y 
2420,-,2016-04-10,12,16.00,PM25HR,Micrograms/Cubic Meter ( ug/m<sup>3</sup> ),0,y 
2420,-,2016-04-10,13,14.00,PM25HR,Micrograms/Cubic Meter ( ug/m<sup>3</sup> ),0,y 
2420,-,2016-04-10,14,12.00,PM25HR,Micrograms/Cubic Meter ( ug/m<sup>3</sup> ),0,y 
2420,-,2016-04-10,15,8.00,PM25HR,Micrograms/Cubic Meter ( ug/m<sup>3</sup> ),0,y 
2420,-,2016-04-10,16,6.00,PM25HR,Micrograms/Cubic Meter ( ug/m<sup>3</sup> ),0,y 
2420,-,2016-04-10,17,8.00,PM25HR,Micrograms/Cubic Meter ( ug/m<sup>3</sup> ),0,y 
2420,-,2016-04-10,18,10.00,PM25HR,Micrograms/Cubic Meter ( ug/m<sup>3</sup> ),0,y 
